stock_code,weight
603885,0.020493917826326268
600060,0.020473434152044057
600499,0.0204529709511977
600312,0.020432528203324002
688281,0.02041210588798021
300474,0.020391703984744006
000155,0.020371322473213486
600486,0.02035096133300714
000951,0.02033062054376382
000933,0.020310300085142736
601555,0.020289999936823434
603728,0.020269720078505755
002085,0.020249460489909846
601799,0.020229221150776116
300024,0.02020900204086522
601958,0.02018880313995805
600435,0.020168624427855702
688235,0.020148465884379466
600967,0.02012832748937079
300751,0.020108209222691277
002265,0.020088111064222668
600521,0.020068032993866797
603345,0.020047974991545592
600171,0.020027937037201047
002120,0.02000791911079521
600959,0.019987921192310153
300627,0.019967943261747948
002065,0.019947985299130673
603049,0.019928047284500358
000921,0.01990812919791899
603160,0.019888231019468478
688122,0.01986835272925064
600580,0.01984849430738719
300002,0.019828655734019703
600299,0.0198088369893096
600398,0.019789038053438138
002607,0.019769258906606378
601567,0.01974949952903517
600737,0.01972975990096514
601128,0.019710040002656654
603786,0.019690339814389814
603806,0.019670659316464428
000825,0.019650998489199996
601162,0.019631357312935693
600143,0.019611735768030342
600765,0.01959213383486239
603379,0.0195725514938299
600862,0.019552988725350544
688019,0.01953344550986154
688266,0.01951392182781967
